,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
92,actinic_keratosis,red_spots,crusty_lesions,itching,thin_skin
93,actinic_keratosis,scaly_skin,sun_exposure,crusty_lesions,thin_skin
94,actinic_keratosis,rough_patches,scaly_skin,thin_skin,dryness
95,actinic_keratosis,scaly_skin,red_patches,thin_skin,dryness
96,actinic_keratosis,rough_patches,scaly_skin,red_spots,red_patches
97,actinic_keratosis,sun_exposure,crusty_lesions,red_patches,dryness
98,actinic_keratosis,sun_exposure,crusty_lesions,itching,dryness
99,actinic_keratosis,rough_patches,sun_exposure,crusty_lesions,thin_skin
100,actinic_keratosis,rough_patches,scaly_skin,crusty_lesions,itching
101,actinic_keratosis,rough_patches,itching,red_patches,thin_skin
102,actinic_keratosis,rough_patches,sun_exposure,itching,dryness
103,actinic_keratosis,scaly_skin,red_spots,itching,dryness
104,actinic_keratosis,scaly_skin,sun_exposure,itching,thin_skin
105,actinic_keratosis,rough_patches,sun_exposure,itching,red_patches
106,actinic_keratosis,rough_patches,scaly_skin,itching,dryness
107,actinic_keratosis,rough_patches,red_spots,crusty_lesions,itching
108,actinic_keratosis,scaly_skin,red_spots,sun_exposure,itching
109,actinic_keratosis,rough_patches,scaly_skin,red_patches,dryness
110,actinic_keratosis,rough_patches,red_spots,sun_exposure,red_patches
111,actinic_keratosis,rough_patches,scaly_skin,red_spots,dryness
112,actinic_keratosis,red_spots,sun_exposure,red_patches,thin_skin
113,actinic_keratosis,red_spots,sun_exposure,red_patches,dryness
114,actinic_keratosis,sun_exposure,red_patches,thin_skin,dryness
115,actinic_keratosis,red_spots,red_patches,thin_skin,dryness
116,actinic_keratosis,rough_patches,sun_exposure,red_patches,thin_skin
117,actinic_keratosis,red_spots,crusty_lesions,thin_skin,dryness
118,actinic_keratosis,rough_patches,sun_exposure,red_patches,dryness
119,actinic_keratosis,rough_patches,red_spots,red_patches,thin_skin
120,actinic_keratosis,scaly_skin,sun_exposure,crusty_lesions,red_patches
121,actinic_keratosis,red_spots,sun_exposure,itching,red_patches
122,actinic_keratosis,rough_patches,crusty_lesions,itching,dryness
123,actinic_keratosis,scaly_skin,crusty_lesions,itching,red_patches
124,actinic_keratosis,red_spots,sun_exposure,crusty_lesions,red_patches
125,actinic_keratosis,sun_exposure,itching,red_patches,dryness
126,actinic_keratosis,rough_patches,sun_exposure,crusty_lesions,itching
127,actinic_keratosis,rough_patches,red_spots,crusty_lesions,thin_skin
128,actinic_keratosis,scaly_skin,red_spots,crusty_lesions,thin_skin
129,actinic_keratosis,scaly_skin,crusty_lesions,itching,thin_skin
130,actinic_keratosis,scaly_skin,red_spots,itching,thin_skin
131,actinic_keratosis,scaly_skin,red_spots,crusty_lesions,red_patches
132,actinic_keratosis,rough_patches,itching,red_patches,dryness
133,actinic_keratosis,rough_patches,scaly_skin,sun_exposure,crusty_lesions
134,actinic_keratosis,rough_patches,crusty_lesions,red_patches,dryness
135,actinic_keratosis,red_spots,crusty_lesions,itching,dryness
136,actinic_keratosis,sun_exposure,itching,red_patches,thin_skin
137,actinic_keratosis,sun_exposure,crusty_lesions,red_patches,thin_skin
138,actinic_keratosis,rough_patches,scaly_skin,crusty_lesions,red_patches
139,actinic_keratosis,red_spots,sun_exposure,crusty_lesions,itching
140,actinic_keratosis,rough_patches,red_spots,itching,dryness
141,actinic_keratosis,scaly_skin,red_spots,crusty_lesions,dryness
142,actinic_keratosis,rough_patches,scaly_skin,sun_exposure,dryness
143,actinic_keratosis,rough_patches,scaly_skin,sun_exposure,itching
144,actinic_keratosis,red_spots,crusty_lesions,itching,red_patches
145,actinic_keratosis,rough_patches,scaly_skin,red_spots,thin_skin
146,actinic_keratosis,rough_patches,sun_exposure,crusty_lesions,dryness
147,actinic_keratosis,scaly_skin,red_spots,red_patches,thin_skin
148,actinic_keratosis,scaly_skin,sun_exposure,itching,dryness
149,actinic_keratosis,red_spots,crusty_lesions,red_patches,dryness
150,actinic_keratosis,rough_patches,sun_exposure,crusty_lesions,red_patches
151,actinic_keratosis,rough_patches,red_spots,sun_exposure,thin_skin
152,actinic_keratosis,scaly_skin,sun_exposure,itching,red_patches
153,actinic_keratosis,scaly_skin,sun_exposure,crusty_lesions,dryness
154,actinic_keratosis,red_spots,sun_exposure,crusty_lesions,dryness
155,actinic_keratosis,rough_patches,sun_exposure,thin_skin,dryness
156,actinic_keratosis,scaly_skin,sun_exposure,thin_skin,dryness
157,actinic_keratosis,scaly_skin,crusty_lesions,red_patches,thin_skin
158,actinic_keratosis,crusty_lesions,red_patches,thin_skin,dryness
159,actinic_keratosis,itching,red_patches,thin_skin,dryness
160,actinic_keratosis,red_spots,crusty_lesions,red_patches,thin_skin
161,actinic_keratosis,scaly_skin,crusty_lesions,thin_skin,dryness
162,actinic_keratosis,scaly_skin,red_spots,crusty_lesions,itching
163,actinic_keratosis,rough_patches,scaly_skin,red_spots,itching
164,actinic_keratosis,red_spots,itching,red_patches,thin_skin
165,actinic_keratosis,rough_patches,scaly_skin,crusty_lesions,dryness
166,actinic_keratosis,rough_patches,scaly_skin,sun_exposure,thin_skin
167,actinic_keratosis,rough_patches,scaly_skin,red_patches,thin_skin
168,actinic_keratosis,rough_patches,crusty_lesions,itching,red_patches
169,actinic_keratosis,scaly_skin,sun_exposure,red_patches,dryness
170,actinic_keratosis,scaly_skin,red_spots,sun_exposure,thin_skin
171,actinic_keratosis,rough_patches,scaly_skin,red_spots,sun_exposure
172,actinic_keratosis,rough_patches,red_spots,red_patches,dryness
173,actinic_keratosis,rough_patches,red_spots,sun_exposure,itching
174,actinic_keratosis,rough_patches,red_spots,crusty_lesions,red_patches
175,actinic_keratosis,rough_patches,crusty_lesions,thin_skin,dryness
176,actinic_keratosis,rough_patches,red_spots,itching,red_patches
177,actinic_keratosis,red_spots,itching,red_patches,dryness
178,actinic_keratosis,rough_patches,sun_exposure,itching,thin_skin
179,actinic_keratosis,rough_patches,itching,thin_skin,dryness
180,actinic_keratosis,scaly_skin,red_spots,red_patches,dryness
181,actinic_keratosis,scaly_skin,crusty_lesions,red_patches,dryness
182,actinic_keratosis,rough_patches,scaly_skin,sun_exposure,red_patches
183,actinic_keratosis,scaly_skin,itching,red_patches,thin_skin
184,actinic_keratosis,rough_patches,scaly_skin,red_spots,crusty_lesions
185,actinic_keratosis,red_spots,itching,thin_skin,dryness
186,actinic_keratosis,rough_patches,scaly_skin,crusty_lesions,thin_skin
187,actinic_keratosis,crusty_lesions,itching,red_patches,dryness
188,actinic_keratosis,rough_patches,scaly_skin,itching,red_patches
189,actinic_keratosis,rough_patches,red_spots,itching,thin_skin
190,actinic_keratosis,scaly_skin,itching,thin_skin,dryness
191,actinic_keratosis,rough_patches,crusty_lesions,red_patches,thin_skin
192,actinic_keratosis,scaly_skin,red_spots,sun_exposure,crusty_lesions
193,actinic_keratosis,sun_exposure,crusty_lesions,itching,thin_skin
194,actinic_keratosis,rough_patches,red_spots,sun_exposure,crusty_lesions
195,actinic_keratosis,sun_exposure,itching,thin_skin,dryness
196,actinic_keratosis,rough_patches,red_patches,thin_skin,dryness
197,benign_tumors,slow_growth,painless,round_shape,oval_shape
198,benign_tumors,soft_texture,painless,firm_nodule,round_shape
199,benign_tumors,slow_growth,soft_texture,firm_nodule,round_shape
200,benign_tumors,small_lumps,slow_growth,painless,oval_shape
201,benign_tumors,small_lumps,slow_growth,painless,round_shape
202,benign_tumors,small_lumps,slow_growth,painless,non_cancerous
203,benign_tumors,small_lumps,painless,non_cancerous,oval_shape
204,benign_tumors,small_lumps,slow_growth,soft_texture,painless
205,benign_tumors,slow_growth,soft_texture,firm_nodule,non_cancerous
206,benign_tumors,soft_texture,painless,non_cancerous,oval_shape
207,benign_tumors,small_lumps,soft_texture,non_cancerous,oval_shape
208,benign_tumors,small_lumps,slow_growth,firm_nodule,non_cancerous
209,benign_tumors,small_lumps,slow_growth,round_shape,non_cancerous
210,benign_tumors,slow_growth,round_shape,non_cancerous,oval_shape
211,benign_tumors,small_lumps,painless,firm_nodule,round_shape
212,benign_tumors,slow_growth,soft_texture,non_cancerous,oval_shape
213,benign_tumors,small_lumps,slow_growth,soft_texture,oval_shape
214,benign_tumors,small_lumps,soft_texture,firm_nodule,round_shape
215,benign_tumors,slow_growth,soft_texture,painless,non_cancerous
216,benign_tumors,small_lumps,painless,round_shape,non_cancerous
217,benign_tumors,painless,firm_nodule,non_cancerous,oval_shape
218,benign_tumors,slow_growth,soft_texture,round_shape,oval_shape
219,benign_tumors,small_lumps,soft_texture,round_shape,oval_shape
220,benign_tumors,slow_growth,painless,firm_nodule,non_cancerous
221,benign_tumors,firm_nodule,round_shape,non_cancerous,oval_shape
222,benign_tumors,small_lumps,slow_growth,soft_texture,firm_nodule
223,benign_tumors,soft_texture,painless,firm_nodule,non_cancerous
224,benign_tumors,slow_growth,painless,round_shape,non_cancerous
225,benign_tumors,soft_texture,firm_nodule,round_shape,oval_shape
226,benign_tumors,small_lumps,soft_texture,painless,oval_shape
227,benign_tumors,soft_texture,round_shape,non_cancerous,oval_shape
228,benign_tumors,slow_growth,soft_texture,round_shape,non_cancerous
229,benign_tumors,soft_texture,firm_nodule,non_cancerous,oval_shape
230,benign_tumors,small_lumps,slow_growth,firm_nodule,round_shape
231,benign_tumors,small_lumps,slow_growth,firm_nodule,oval_shape
232,benign_tumors,small_lumps,firm_nodule,non_cancerous,oval_shape
233,benign_tumors,soft_texture,painless,round_shape,non_cancerous
234,benign_tumors,small_lumps,painless,round_shape,oval_shape
235,benign_tumors,slow_growth,soft_texture,painless,round_shape
236,benign_tumors,slow_growth,firm_nodule,round_shape,oval_shape
237,benign_tumors,painless,firm_nodule,round_shape,non_cancerous
238,benign_tumors,soft_texture,firm_nodule,round_shape,non_cancerous
239,benign_tumors,small_lumps,soft_texture,painless,non_cancerous
240,benign_tumors,slow_growth,painless,non_cancerous,oval_shape
241,benign_tumors,small_lumps,painless,firm_nodule,oval_shape
242,benign_tumors,slow_growth,firm_nodule,non_cancerous,oval_shape
243,benign_tumors,painless,firm_nodule,round_shape,oval_shape
244,benign_tumors,slow_growth,soft_texture,painless,oval_shape
245,benign_tumors,small_lumps,firm_nodule,round_shape,oval_shape
246,benign_tumors,slow_growth,soft_texture,painless,firm_nodule
247,benign_tumors,small_lumps,soft_texture,firm_nodule,non_cancerous
248,benign_tumors,small_lumps,slow_growth,soft_texture,non_cancerous
249,benign_tumors,small_lumps,soft_texture,painless,round_shape
250,benign_tumors,small_lumps,soft_texture,firm_nodule,oval_shape
251,benign_tumors,small_lumps,slow_growth,non_cancerous,oval_shape
252,benign_tumors,small_lumps,painless,firm_nodule,non_cancerous
253,benign_tumors,small_lumps,round_shape,non_cancerous,oval_shape
254,benign_tumors,small_lumps,slow_growth,round_shape,oval_shape
255,benign_tumors,painless,round_shape,non_cancerous,oval_shape
256,benign_tumors,small_lumps,slow_growth,soft_texture,round_shape
257,benign_tumors,small_lumps,soft_texture,round_shape,non_cancerous
258,benign_tumors,soft_texture,painless,round_shape,oval_shape
259,benign_tumors,slow_growth,painless,firm_nodule,round_shape
260,benign_tumors,slow_growth,firm_nodule,round_shape,non_cancerous
261,benign_tumors,soft_texture,painless,firm_nodule,oval_shape
262,benign_tumors,small_lumps,slow_growth,painless,firm_nodule
263,benign_tumors,slow_growth,soft_texture,firm_nodule,oval_shape
264,benign_tumors,small_lumps,soft_texture,painless,firm_nodule
265,benign_tumors,small_lumps,firm_nodule,round_shape,non_cancerous
266,benign_tumors,slow_growth,painless,firm_nodule,oval_shape
267,bullous,redness,pain,skin_peeling,large_blisters
268,bullous,blisters,pain,fluid_filled_bumps,large_blisters
269,bullous,blisters,redness,pain,swelling
270,bullous,pain,skin_peeling,swelling,fragile_skin
271,bullous,itching,pain,skin_peeling,large_blisters
272,bullous,itching,redness,pain,fluid_filled_bumps
273,bullous,itching,redness,fluid_filled_bumps,large_blisters
274,bullous,pain,fluid_filled_bumps,swelling,fragile_skin
275,bullous,fluid_filled_bumps,skin_peeling,large_blisters,fragile_skin
276,bullous,blisters,large_blisters,swelling,fragile_skin
277,bullous,blisters,skin_peeling,large_blisters,swelling
278,bullous,redness,pain,fluid_filled_bumps,large_blisters
279,bullous,redness,pain,skin_peeling,fragile_skin
280,bullous,itching,redness,swelling,fragile_skin
281,bullous,blisters,pain,fluid_filled_bumps,skin_peeling
282,bullous,blisters,itching,fluid_filled_bumps,skin_peeling
283,bullous,itching,redness,pain,large_blisters
284,bullous,blisters,itching,pain,large_blisters
285,bullous,itching,redness,skin_peeling,swelling
286,bullous,blisters,itching,redness,swelling
287,bullous,blisters,pain,large_blisters,swelling
288,bullous,blisters,redness,large_blisters,swelling
289,bullous,redness,fluid_filled_bumps,skin_peeling,swelling
290,bullous,pain,fluid_filled_bumps,skin_peeling,fragile_skin
291,bullous,redness,pain,fluid_filled_bumps,fragile_skin
292,bullous,itching,redness,skin_peeling,large_blisters
293,bullous,itching,redness,pain,skin_peeling
294,bullous,itching,redness,pain,fragile_skin
295,bullous,blisters,itching,redness,fragile_skin
296,bullous,redness,skin_peeling,large_blisters,swelling
297,bullous,skin_peeling,large_blisters,swelling,fragile_skin
298,bullous,blisters,redness,fluid_filled_bumps,swelling
299,bullous,blisters,redness,skin_peeling,swelling
300,bullous,itching,pain,skin_peeling,fragile_skin
301,bullous,blisters,skin_peeling,large_blisters,fragile_skin
302,bullous,blisters,itching,skin_peeling,large_blisters
303,bullous,blisters,itching,fluid_filled_bumps,fragile_skin
304,bullous,blisters,redness,fluid_filled_bumps,skin_peeling
305,bullous,itching,redness,fluid_filled_bumps,skin_peeling
306,bullous,blisters,fluid_filled_bumps,large_blisters,fragile_skin
307,bullous,redness,pain,skin_peeling,swelling
308,bullous,itching,fluid_filled_bumps,large_blisters,swelling
309,bullous,blisters,itching,skin_peeling,swelling
310,bullous,blisters,pain,skin_peeling,large_blisters
311,bullous,redness,skin_peeling,swelling,fragile_skin
312,bullous,blisters,pain,swelling,fragile_skin
313,bullous,itching,pain,large_blisters,swelling
314,bullous,itching,redness,skin_peeling,fragile_skin
315,bullous,blisters,skin_peeling,swelling,fragile_skin
316,bullous,pain,fluid_filled_bumps,skin_peeling,swelling
317,bullous,blisters,redness,pain,skin_peeling
318,bullous,itching,pain,fluid_filled_bumps,skin_peeling
319,bullous,redness,fluid_filled_bumps,large_blisters,swelling
320,bullous,blisters,redness,pain,fluid_filled_bumps
321,bullous,blisters,itching,pain,fluid_filled_bumps
322,bullous,fluid_filled_bumps,skin_peeling,large_blisters,swelling
323,bullous,pain,skin_peeling,large_blisters,fragile_skin
324,bullous,blisters,itching,redness,fluid_filled_bumps
325,bullous,blisters,redness,large_blisters,fragile_skin
326,bullous,blisters,itching,pain,skin_peeling
327,bullous,fluid_filled_bumps,skin_peeling,swelling,fragile_skin
328,bullous,redness,pain,large_blisters,swelling
329,bullous,redness,fluid_filled_bumps,skin_peeling,large_blisters
330,bullous,itching,redness,fluid_filled_bumps,fragile_skin
331,bullous,blisters,itching,large_blisters,swelling
332,bullous,itching,pain,fluid_filled_bumps,large_blisters
333,bullous,blisters,fluid_filled_bumps,skin_peeling,large_blisters
334,bullous,blisters,redness,pain,large_blisters
335,bullous,itching,redness,large_blisters,fragile_skin
336,bullous,pain,fluid_filled_bumps,large_blisters,swelling
337,bullous,itching,skin_peeling,swelling,fragile_skin
338,bullous,blisters,itching,swelling,fragile_skin
339,bullous,blisters,itching,fluid_filled_bumps,large_blisters
340,bullous,itching,large_blisters,swelling,fragile_skin
341,bullous,itching,pain,swelling,fragile_skin
342,bullous,blisters,fluid_filled_bumps,swelling,fragile_skin
343,bullous,redness,fluid_filled_bumps,large_blisters,fragile_skin
344,bullous,redness,pain,fluid_filled_bumps,swelling
345,bullous,blisters,redness,fluid_filled_bumps,large_blisters
346,bullous,blisters,pain,fluid_filled_bumps,swelling
347,bullous,blisters,redness,skin_peeling,fragile_skin
348,bullous,pain,large_blisters,swelling,fragile_skin
349,bullous,blisters,redness,fluid_filled_bumps,fragile_skin
350,bullous,redness,large_blisters,swelling,fragile_skin
351,bullous,itching,fluid_filled_bumps,skin_peeling,swelling
352,bullous,blisters,itching,skin_peeling,fragile_skin
353,bullous,itching,pain,skin_peeling,swelling
354,bullous,pain,skin_peeling,large_blisters,swelling
355,bullous,pain,fluid_filled_bumps,skin_peeling,large_blisters
356,bullous,blisters,pain,skin_peeling,fragile_skin
357,bullous,redness,fluid_filled_bumps,skin_peeling,fragile_skin
358,bullous,redness,skin_peeling,large_blisters,fragile_skin
359,bullous,blisters,redness,skin_peeling,large_blisters
360,bullous,itching,fluid_filled_bumps,large_blisters,fragile_skin
361,bullous,blisters,redness,swelling,fragile_skin
362,bullous,itching,redness,fluid_filled_bumps,swelling
363,bullous,blisters,itching,pain,fragile_skin
364,bullous,blisters,itching,redness,pain
365,bullous,itching,pain,fluid_filled_bumps,fragile_skin
366,bullous,redness,pain,fluid_filled_bumps,skin_peeling
367,bullous,blisters,pain,large_blisters,fragile_skin
368,bullous,pain,fluid_filled_bumps,large_blisters,fragile_skin
369,bullous,itching,pain,fluid_filled_bumps,swelling
370,bullous,redness,pain,large_blisters,fragile_skin
371,bullous,blisters,pain,skin_peeling,swelling
372,bullous,redness,fluid_filled_bumps,swelling,fragile_skin
373,bullous,redness,pain,swelling,fragile_skin
374,bullous,itching,skin_peeling,large_blisters,fragile_skin
375,bullous,blisters,itching,fluid_filled_bumps,swelling
376,bullous,blisters,fluid_filled_bumps,skin_peeling,swelling
377,bullous,blisters,pain,fluid_filled_bumps,fragile_skin
378,bullous,blisters,fluid_filled_bumps,skin_peeling,fragile_skin
379,bullous,blisters,itching,pain,swelling
380,bullous,itching,pain,large_blisters,fragile_skin
381,bullous,blisters,fluid_filled_bumps,large_blisters,swelling
382,bullous,itching,fluid_filled_bumps,swelling,fragile_skin
383,bullous,blisters,redness,pain,fragile_skin
384,bullous,itching,fluid_filled_bumps,skin_peeling,large_blisters
385,bullous,itching,skin_peeling,large_blisters,swelling
386,bullous,itching,redness,large_blisters,swelling
387,bullous,itching,redness,pain,swelling
388,bullous,blisters,itching,large_blisters,fragile_skin
389,bullous,fluid_filled_bumps,large_blisters,swelling,fragile_skin
390,bullous,blisters,itching,redness,skin_peeling
391,bullous,blisters,itching,redness,large_blisters
392,bullous,itching,fluid_filled_bumps,skin_peeling,fragile_skin
393,candidiasis,white_coating,itching,rash,swelling
394,candidiasis,white_coating,moist_skin,swelling,fungal_growth
395,candidiasis,white_coating,itching,discomfort,swelling
396,candidiasis,white_coating,itching,moist_skin,swelling
397,candidiasis,itching,redness,moist_skin,rash
398,candidiasis,itching,rash,yeast_infection,fungal_growth
399,candidiasis,white_coating,redness,rash,yeast_infection
400,candidiasis,itching,redness,swelling,fungal_growth
401,candidiasis,itching,redness,moist_skin,yeast_infection
402,candidiasis,white_coating,fissures,discomfort,swelling
403,candidiasis,white_coating,redness,moist_skin,yeast_infection
404,candidiasis,redness,moist_skin,rash,fissures
405,candidiasis,redness,fissures,discomfort,swelling
406,candidiasis,itching,yeast_infection,fissures,fungal_growth
407,candidiasis,itching,moist_skin,yeast_infection,fissures
408,candidiasis,itching,moist_skin,yeast_infection,swelling
409,candidiasis,itching,rash,fissures,discomfort
410,candidiasis,white_coating,itching,discomfort,fungal_growth
411,candidiasis,redness,moist_skin,fissures,discomfort
412,candidiasis,redness,moist_skin,yeast_infection,discomfort
413,candidiasis,redness,rash,yeast_infection,discomfort
414,candidiasis,white_coating,moist_skin,rash,discomfort
415,candidiasis,itching,fissures,discomfort,fungal_growth
416,candidiasis,itching,redness,moist_skin,fungal_growth
417,candidiasis,moist_skin,yeast_infection,fissures,fungal_growth
418,candidiasis,white_coating,itching,moist_skin,discomfort
419,candidiasis,white_coating,redness,moist_skin,rash
420,candidiasis,itching,moist_skin,swelling,fungal_growth
421,candidiasis,itching,rash,yeast_infection,swelling
422,candidiasis,itching,redness,rash,fungal_growth
423,candidiasis,white_coating,redness,discomfort,swelling
424,candidiasis,white_coating,rash,fissures,swelling
425,candidiasis,white_coating,discomfort,swelling,fungal_growth
426,candidiasis,redness,yeast_infection,fissures,swelling
427,candidiasis,fissures,discomfort,swelling,fungal_growth
428,candidiasis,white_coating,yeast_infection,fissures,fungal_growth
429,candidiasis,itching,fissures,discomfort,swelling
430,candidiasis,redness,moist_skin,rash,swelling
431,candidiasis,itching,moist_skin,fissures,swelling
432,candidiasis,rash,yeast_infection,fissures,discomfort
433,candidiasis,white_coating,itching,redness,moist_skin
434,candidiasis,itching,rash,discomfort,swelling
435,candidiasis,moist_skin,rash,fissures,swelling
436,candidiasis,itching,redness,yeast_infection,swelling
437,candidiasis,moist_skin,fissures,discomfort,fungal_growth
438,candidiasis,white_coating,itching,rash,yeast_infection
439,candidiasis,itching,moist_skin,yeast_infection,fungal_growth
440,candidiasis,redness,rash,discomfort,swelling
441,candidiasis,rash,yeast_infection,fissures,fungal_growth
442,candidiasis,moist_skin,yeast_infection,discomfort,swelling
443,candidiasis,moist_skin,yeast_infection,fissures,discomfort
444,candidiasis,redness,moist_skin,fissures,fungal_growth
445,candidiasis,itching,redness,moist_skin,fissures
446,candidiasis,white_coating,itching,yeast_infection,swelling
447,candidiasis,white_coating,rash,swelling,fungal_growth
448,candidiasis,itching,redness,discomfort,swelling
449,candidiasis,redness,moist_skin,rash,fungal_growth
450,candidiasis,redness,yeast_infection,discomfort,swelling
451,candidiasis,redness,rash,fissures,fungal_growth
452,candidiasis,itching,rash,yeast_infection,discomfort
453,candidiasis,moist_skin,fissures,discomfort,swelling
454,candidiasis,redness,moist_skin,rash,yeast_infection
455,candidiasis,white_coating,redness,moist_skin,discomfort
456,candidiasis,redness,moist_skin,yeast_infection,fungal_growth
457,candidiasis,redness,rash,yeast_infection,fissures
458,candidiasis,white_coating,itching,redness,yeast_infection
459,candidiasis,white_coating,yeast_infection,fissures,discomfort
460,candidiasis,white_coating,moist_skin,discomfort,swelling
461,candidiasis,white_coating,itching,rash,fungal_growth
462,candidiasis,white_coating,redness,fissures,fungal_growth
463,candidiasis,white_coating,itching,rash,discomfort
464,candidiasis,rash,yeast_infection,discomfort,fungal_growth
465,candidiasis,itching,moist_skin,rash,discomfort
466,candidiasis,white_coating,rash,yeast_infection,discomfort
467,candidiasis,rash,fissures,swelling,fungal_growth
468,candidiasis,itching,redness,yeast_infection,fissures
469,candidiasis,redness,yeast_infection,swelling,fungal_growth
470,candidiasis,moist_skin,discomfort,swelling,fungal_growth
471,candidiasis,itching,moist_skin,rash,yeast_infection
472,candidiasis,redness,rash,fissures,discomfort
473,candidiasis,white_coating,itching,redness,discomfort
